File ID,Peak Frequency,Mean Frequency,Total Magnitude,Spectral Entropy
402254,319.9404761904762,5512.351190476191,265120.94,14.654433
406171,5010.655117479002,5512.488726555837,4201662.0,17.74818
405901,63.01396227735592,5512.307100115478,105327.09,12.778466
405548,117.91659429762417,5512.469764975823,1757438.9,16.749039
401782,4180.031667802653,5512.465317464479,5610210.0,16.128778
401720,5405.985011131707,5512.489899005323,5094790.5,17.641975
401719,4884.364619708713,5512.466463674303,290036.5,15.852343
387404,5214.964430894309,5512.474064193767,1276025.6,15.714419
377874,5138.145789434076,5512.488476444912,5818690.5,17.28306
368493,5506.776214799321,5512.450514825354,294441.8,15.4843
368492,5505.912687986249,5512.49181700371,4514092.5,17.6506
364567,44.13716814159292,5512.4792588495575,759289.0,17.04147
353709,5024.184782608695,5512.454710144926,1330909.6,14.879122
351273,5374.7150997151,5512.464387464387,1354903.1,14.671062
299736,5674.11822394139,5512.462326754325,1483578.6,15.720017
298739,5820.99537037037,5512.488425925926,4979803.0,17.504877
293916,5553.179824561404,5512.472587719299,1496317.6,16.225151
293914,5677.739088513892,5512.495257247198,33184962.0,19.483189
277989,5703.121700617036,5512.494201150899,29779366.0,19.184374
277952,3370.991161616161,5512.494739057239,20177932.0,18.717571
233383,5643.234984495272,5512.484742075334,6660145.5,17.476856
225347,1928.8959948727827,5512.495973054837,90964530.0,19.736347
181907,4920.128202343589,5512.440134229646,717952.5,15.095384
176636,50.73321586111472,5512.492756536856,14430981.0,18.297318
164501,4202.8332779255325,5512.47963763298,3452009.8,15.851077
164204,4767.8636263942435,5512.485433275816,4575394.5,16.933662
163385,5063.604549431321,5512.467191601049,2448645.5,16.856182
162569,5395.560158501441,5512.472419848703,833708.44,16.245184
162567,4620.735143442623,5512.437243852459,766547.4,15.344235
162566,3.3545425257731956,5512.401336984536,164887.8,14.8416605
162564,4701.211414703315,5512.491648941973,20010480.0,17.55468
162563,4436.166815210933,5512.48862707962,4434151.5,16.986008
152971,4494.996293550778,5512.4736363853735,4318195.5,16.50232
139528,5632.839456253851,5512.488206638938,3798791.5,17.633955
138985,4970.353770852641,5512.482260773864,6000371.0,16.416426
134557,4777.924749824439,5512.49327927493,12288041.0,18.3145
120731,4682.463756302566,5512.495034955713,17327832.0,18.469751
118322,1570.1065816933515,5512.496763000553,18568916.0,20.269571
118321,79.03605987159798,5512.479601842773,3204871.8,18.095728
118320,585.5409647629457,5512.475998484803,2023286.6,17.244598
111775,58.74845297029703,5512.462097772277,191130.38,16.095427
110765,5288.570516381231,5512.414148440786,928806.06,15.166795
106772,4296.924782766111,5512.496535006336,8287978.0,19.546305
105151,10.96589355329013,5512.492988559109,12785118.0,16.66683
89862,143.26811544759823,5512.49552231168,120089590.0,19.123892
70544,5196.769549589202,5512.477534477701,977467.0,16.110275
70543,4994.115152355752,5512.4934651331505,6328228.5,18.281149
41283,136.16028420038535,5512.463120183044,1558023.8,15.931849
35964,4780.444021101993,5512.477560814771,2143837.0,16.292187
30397,4815.9444060773485,5512.484892955801,8015860.5,16.847126
14877,5125.003083881579,5512.487407483553,17684222.0,16.94267
12122,4659.100028722038,5512.484477427856,3465747.8,17.092278
387405,5256.816860465116,5512.470324612404,960013.9,15.803875
387403,5463.901817375886,5512.432125443262,285583.66,14.704422
383970,973.4658354922278,5512.485832253886,928462.0,17.832525
383446,5132.527808262238,5512.408799377931,374923.03,14.521744
378584,5107.637808789299,5512.440870134187,265589.25,15.64279
362922,305.9200384558007,5512.408626033914,458027.56,14.928795
354538,4922.086284610431,5512.377600639474,93392.945,14.429023
349700,5253.478314942113,5512.437675244211,154886.58,15.196333
345802,240.01507586564648,5512.491489430683,1896753.1,18.089495
345801,15.713098530792458,5512.488343398716,1729455.5,16.709183
345797,18.122765024801016,5512.489401891798,1413362.8,16.105228
345796,19.5983580430554,5512.492491050558,2110484.5,17.670544
345795,27.677680409156114,5512.471348156927,380293.28,15.394147
345564,104.37916017561251,5512.486988386914,876424.06,16.70296
345563,71.09061549314404,5512.479746263393,374222.84,16.17264
345562,12.219859532716876,5512.4953677560525,8605074.0,16.84103
345561,13.11906913691821,5512.458483958428,129469.42,14.518202
345560,60.1712479557177,5512.488441942382,957544.5,17.487257
345559,95.13182159688546,5512.468624069395,266435.06,15.694718
345558,48.118529756744344,5512.476573257177,149737.12,16.171648
345557,20.340916002676234,5512.472059181314,421910.97,15.800877
345556,13.670368125206657,5512.449369006944,255505.64,14.835032
345555,28.459234365867914,5512.461645236703,78037.54,15.405836
345554,13.43673828014285,5512.473959809535,395067.6,14.211756
345553,55.283728742647604,5512.488694534002,1105284.6,17.703909
345552,41.897600104612586,5512.493676788394,5595685.5,17.051226
345550,51.442609815873816,5512.471132093257,227540.8,15.832125
344091,4575.919563982022,5512.468357700056,2351829.8,15.615585
344090,45.87550092398414,5512.431324100413,2344280.5,15.547374
342729,4932.138617168703,5512.475116349404,294950.12,16.850473
342417,4227.790227239691,5512.366454285575,187100.08,14.050102
339833,23.925537866842987,5512.219622603123,35365.395,9.8311615
339832,5.517727320619534,5512.354796649457,57390.793,11.271813
324018,70.10271460014674,5512.469126813888,5948604.5,16.539476
